Date,StockCode,Close
2024-03-21,STTP,10425.0
2024-03-21,SUGI,50.0
2024-03-21,SULI,124.0
2024-03-21,SUNI,350.0
2024-03-21,SUPR,39900.0
2024-03-21,SURE,1600.0
2024-03-21,SURI,358.0
2024-03-21,SWAT,50.0
2024-03-21,SWID,75.0
2024-03-21,TALF,330.0
2024-03-21,TAMA,12.0
2024-03-21,TAMU,7.0
2024-03-21,TAPG,600.0
2024-03-21,TARA,8.0
2024-03-21,TAXI,50.0
2024-03-21,TAYS,108.0
2024-03-21,TBIG,1860.0
2024-03-21,TBLA,680.0
2024-03-21,TBMS,935.0
2024-03-21,TCID,2800.0
2024-03-21,TCPI,7525.0
2024-03-21,TDPM,119.0
2024-03-21,TEBE,790.0
2024-03-21,TECH,50.0
2024-03-21,TELE,50.0
2024-03-21,TFAS,386.0
2024-03-21,TFCO,650.0
2024-03-21,TGKA,6800.0
2024-03-21,TGRA,50.0
2024-03-21,TGUK,94.0
2024-03-21,TIFA,565.0
2024-03-21,TINS,855.0
2024-03-21,TIRA,382.0
2024-03-21,TIRT,50.0
2024-03-21,TKIM,7050.0
2024-03-21,TLDN,458.0
2024-03-21,TLKM,3890.0
2024-03-21,TMAS,161.0
2024-03-21,TMPO,76.0
2024-03-21,TNCA,256.0
2024-03-21,TOBA,304.0
2024-03-21,TOOL,60.0
2024-03-21,TOPS,4.0
2024-03-21,TOSK,113.0
2024-03-21,TOTL,436.0
2024-03-21,TOTO,230.0
2024-03-21,TOWR,855.0
2024-03-21,TOYS,50.0
2024-03-21,TPIA,5625.0
2024-03-21,TPMA,690.0
2024-03-21,TRAM,50.0
2024-03-21,TRGU,220.0
2024-03-21,TRIL,50.0
2024-03-21,TRIM,262.0
2024-03-21,TRIN,130.0
2024-03-21,TRIO,426.0
2024-03-21,TRIS,181.0
2024-03-21,TRJA,194.0
2024-03-21,TRON,240.0
2024-03-21,TRST,472.0
2024-03-21,TRUE,50.0
2024-03-21,TRUK,92.0
2024-03-21,TRUS,424.0
2024-03-21,TSPC,2010.0
2024-03-21,TUGU,1145.0
2024-03-21,TYRE,119.0
2024-03-21,UANG,520.0
